Field,Method1,Method2,Correlation,Cosine,MSE
mvgc_healthy_avg,brain_source,pca,-0.535311015684415,0.834449010081737,0.0336980173614482
mvgc_healthy_avg,brain_source,region,-0.629559621534374,0.858132799009559,0.0388506858014943
mvgc_healthy_avg,source,pca,-0.326353992415795,0.892353801761022,0.233313773373501
mvgc_healthy_avg,source,region,-0.443514282680912,0.909325348310118,0.247911594972693
mvgc_healthy_avg,pca,region,0.405195858882899,0.962185524907306,0.00029834734685058
mvgc_depressed_avg,brain_source,source,0.898679618464406,0.980795933734109,0.0769218404267762
mvgc_depressed_avg,brain_source,pca,-0.493973517589508,0.840736375499019,0.0387784660335829
mvgc_depressed_avg,brain_source,region,-0.445836740097105,0.850335381808781,0.0446273459349757
mvgc_depressed_avg,source,pca,-0.285175858077771,0.911699439984848,0.216019038999747
mvgc_depressed_avg,source,region,-0.315051266657064,0.913557688414493,0.231097254327596
mvgc_depressed_avg,pca,region,0.406338785953134,0.964468964289169,0.00032224836401905
mvgc_open_pvals,brain_source,source,-0.143002460761331,0.7805686164935,0.166678430807654
mvgc_open_pvals,brain_source,pca,-0.226748455155944,0.81033324267358,0.150682235457322
mvgc_open_pvals,brain_source,region,0.0944041268918498,0.844060793101965,0.123331530423978
mvgc_open_pvals,source,pca,-0.515222877873677,0.590774010699321,0.272121641715175
mvgc_open_pvals,source,region,0.279225655165237,0.798241201849269,0.132388284658173
mvgc_open_pvals,pca,region,-0.166042280412892,0.714534511847736,0.2030694966471
mvgc_closed_pvals,brain_source,source,0.474498454539139,0.83517540283726,0.1765713620575
mvgc_closed_pvals,brain_source,pca,0.273526548480965,0.758949945417775,0.15130418879935
mvgc_closed_pvals,brain_source,region,-0.481533543881515,0.624584028710808,0.25850736943999
mvgc_closed_pvals,source,pca,0.211191760916374,0.809324067773028,0.148922962535649
mvgc_closed_pvals,source,region,-0.104317643637292,0.813152757611207,0.157035283303585
mvgc_closed_pvals,pca,region,-0.307152658758244,0.73216498209987,0.202695440219209
mvgc_open_pvals_corrected,brain_source,source,0.23885026082721,0.97968728698808,0.0448668845876819
mvgc_open_pvals_corrected,brain_source,pca,-0.319646679371069,0.997070879902591,0.00481304676062611
